,Text,Cluster_Label
3386,"Variable credit course.
",8
3423,"Variable credit course.
",8
4879,"Variable credit course.
",8
4889,"Variable credit course.
",8
4814,"Variable credit course.
",8
4885,"Variable credit course.
",8
2209,"Variable credit course.
",8
4883,"Variable credit course.
",8
3321,"Variable credit course.
",8
2192,"Variable credit course.
",8
3388,"Variable credit course.
",8
3397,"Variable credit course.
",8
3395,"Variable credit course.
",8
4080,"Variable credit course.
",8
3393,"Variable credit course.
",8
2125,"Variable credit course.
",8
3391,"Variable credit course.
",8
4314,"Variable credit course.
",8
3533,"Variable credit course.
",8
3529,"Variable credit course.
",8
2360,"Variable credit course.
",8
5133,"Variable credit course.
",8
5131,"Variable credit course.
",8
4324,"Variable credit course.
",8
4320,"Variable credit course.
",8
2954,"Variable credit course.
",8
4686,"Variable credit course.
",8
5343,"Variable credit course.
",8
3694,"Variable credit course.
",8
3698,"Variable credit course.
",8
4688,"Variable credit course.
",8
2655,"Variable credit course.
",8
3807,"Variable credit course.
",8
2382,"Variable credit course.
",8
2355,"Variable credit course.
",8
5213,"Variable credit course.
",8
3775,"Variable credit course.
",8
3811,"Variable credit course.
",8
5433,"Variable credit course.
",8
3745,"Variable credit course.
",8
5193,"Variable credit course.
",8
5217,"Variable credit course.
",8
3747,"Variable credit course.
",8
4524,"Variable credit course.
",8
5219,"Variable credit course.
",8
4318,"Variable credit course.
",8
5135,"Variable credit course.
",8
3690,"Variable credit course.
",8
2956,"Variable credit course.
",8
4682,"Variable credit course.
",8
4225,"Variable credit course.
",8
4507,"Variable credit course.
",8
5137,"Variable credit course.
",8
3809,"Variable credit course.
",8
3700,"Variable credit course.
",8
2657,"Variable credit course.
",8
3046,"Variable credit course.
",8
4322,"Variable credit course.
",8
3531,"Variable credit course.
",8
5443,"Variable credit course.
",8
3535,"Variable credit course.
",8
1994,"Variable credit course.
",8
2351,"Variable credit course.
",8
2474,"Variable credit course.
",8
2739,"Variable credit course.
",8
4970,"Variable credit course.
",8
5441,"Variable credit course.
",8
3048,"Variable credit course.
",8
2494,"Variable credit course.
",8
2496,"Variable credit course.
",8
2498,"Variable credit course.
",8
4316,"Variable credit course.
",8
5437,"Variable credit course.
",8
2529,"Variable credit course.
",8
2523,"Variable credit course.
",8
2952,"Variable credit course.
",8
2525,"Variable credit course.
",8
2659,"Variable credit course.
",8
5345,"Variable credit course.
",8
3813,"Variable credit course.
",8
3044,"Variable credit course.
",8
2527,"Variable credit course.
",8
2191,"2984: SPECIAL STUDY
",7
4008,"1984: SPECIAL STUDY
",7
4391,"2984: SPECIAL STUDY
",7
2953,"3964: FIELD STUDY
",7
4317,"4974H: INDEPENDENT STUDY
",7
2379,"4964: FIELD STUDY
",7
2955,"3984: SPECIAL STUDY
",7
3292,"2984: SPECIAL STUDY
",7
2425,"2984: SPECIAL STUDY
",7
4313,"4964: FIELD STUDY
",7
4679,"4964: FIELD STUDY
",7
4319,"4984: SPECIAL STUDY
",7
2421,"2974: INDEPENDENT STUDY
",7
2423,"2974H: INDEPENDENT STUDY
",7
2216,"4964: FIELD STUDY
",7
2350,"2974: INDEPENDENT STUDY
",7
2383,"4974H: INDEPENDENT STUDY
",7
2852,"2984: SPECIAL STUDY
",7
2352,"2974H: INDEPENDENT STUDY
",7
2850,"2974: INDEPENDENT STUDY
",7
2354,"2984: SPECIAL STUDY
",7
3045,"4984: SPECIAL STUDY
",7
3043,"4974: INDEPENDENT STUDY
",7
2220,"4984: SPECIAL STUDY
",7
3041,"4964: FIELD STUDY
",7
2218,"4974: INDEPENDENT STUDY
",7
2848,"2964: FIELD STUDY
",7
4813,"2974H: INDEPENDENT STUDY
",7
2208,"3984: SPECIAL STUDY
",7
2419,"2964: FIELD STUDY
",7
4685,"4984: SPECIAL STUDY
",7
4683,"4974H: INDEPENDENT STUDY
",7
4079,"2984: SPECIAL STUDY
",7
4224,"3984: SPECIAL STUDY
",7
4077,"2974: INDEPENDENT STUDY
",7
4075,"2964: FIELD STUDY
",7
4681,"4974: INDEPENDENT STUDY
",7
4811,"2974: INDEPENDENT STUDY
",7
2381,"4974: INDEPENDENT STUDY
",7
5289,"2984: SPECIAL STUDY
",7
4815,"2984: SPECIAL STUDY
",7
5287,"2964: FIELD STUDY
",7
2522,"4974: INDEPENDENT STUDY
",7
5344,"3984: SPECIAL STUDY
",7
3804,"4964: FIELD STUDY
",7
3806,"4974: INDEPENDENT STUDY
",7
3808,"4984: SPECIAL STUDY
",7
2656,"2974H: INDEPENDENT STUDY
",7
2658,"2984: SPECIAL STUDY
",7
3590,"3984: SPECIAL STUDY
",7
2524,"4974H: INDEPENDENT STUDY
",7
2497,"2984: SPECIAL STUDY
",7
2652,"2964: FIELD STUDY
",7
2495,"2974H: INDEPENDENT STUDY
",7
2493,"2974: INDEPENDENT STUDY
",7
1993,"2974: INDEPENDENT STUDY
",7
3534,"2984: SPECIAL STUDY
",7
3532,"2974H: INDEPENDENT STUDY
",7
1995,"2974H: INDEPENDENT STUDY
",7
2155,"Plan of Study
",7
3528,"2964: FIELD STUDY
",7
2654,"2974: INDEPENDENT STUDY
",7
5130,"2964: FIELD STUDY
",7
4947,"2984: SPECIAL STUDY
",7
3691,"4964: FIELD STUDY
",7
5440,"4984: SPECIAL STUDY
",7
5438,"4974: INDEPENDENT STUDY
",7
5436,"4964H: HONORS FIELD STUDY
",7
5434,"4964: FIELD STUDY
",7
5210,"4964: FIELD STUDY
",7
3695,"4984: SPECIAL STUDY
",7
5212,"4974: INDEPENDENT STUDY
",7
3693,"4974H: INDEPENDENT STUDY
",7
5214,"4974H: INDEPENDENT STUDY
",7
5132,"2974: INDEPENDENT STUDY
",7
3744,"2974: INDEPENDENT STUDY
",7
3746,"2984: SPECIAL STUDY
",7
4523,"2984: SPECIAL STUDY
",7
4521,"2964: FIELD STUDY
",7
3774,"3984: SPECIAL STUDY
",7
5136,"2984: SPECIAL STUDY
",7
5134,"2974H: INDEPENDENT STUDY
",7
4506,"1984: SPECIAL STUDY
",7
1997,"2984: SPECIAL STUDY
",7
3530,"2974: INDEPENDENT STUDY
",7
2758,"4964: FIELD STUDY
",7
2124,"4984: SPECIAL STUDY
",7
3385,"4984: SPECIAL STUDY
",7
4421,"4964: FIELD WORK/PRACTICUM
",7
3383,"4974: INDEPENDENT STUDY
",7
2465,"4974: INDEPENDENT STUDY
",7
2118,"4964: FIELD STUDY
",7
3362,"2974: INDEPENDENT STUDY
",7
2120,"4974: INDEPENDENT STUDY
",7
2122,"4974H: INDEPENDENT STUDY
",7
2463,"4964: FIELD STUDY
",7
3394,"2974: INDEPENDENT STUDY
",7
3341,"4984: SPECIAL STUDY
",7
3339,"4974H: INDEPENDENT STUDY
",7
3337,"4974: INDEPENDENT STUDY
",7
2130,"Plan of Study
",7
2806,"supplement their primary major field of study.
",7
3320,"3984: SPECIAL STUDY
",7
4850,"3984: SPECIAL STUDY
",7
2816,"1984: SPECIAL STUDY
",7
3392,"2964: FIELD WORK/PRACTICUM
",7
3381,"4964: FIELD STUDY
",7
3396,"2984: SPECIAL STUDY
",7
3424,"4974: INDEPENDENT STUDY
",7
2760,"4974: INDEPENDENT STUDY
",7
2763,"4984: SPECIAL STUDY
",7
2469,"4984: SPECIAL STUDY
",7
3450,"4984: SPECIAL STUDY
",7
3448,"4974: INDEPENDENT STUDY
",7
2467,"4974H: INDEPENDENT STUDY
",7
3435,"2984: SPECIAL STUDY
",7
4423,"4984: SPECIAL STUDY
",7
3426,"4984: SPECIAL STUDY
",7
4884,"4974H: INDEPENDENT STUDY
",7
4880,"4964: FIELD STUDY
",7
4882,"4974: INDEPENDENT STUDY
",7
4886,"4984: SPECIAL STUDY
",7
4315,"4974: INDEPENDENT STUDY
",7
3422,"4964: FIELD STUDY
",7
4515,"(3H,3C)
",6
5338,"(3H,3C)
",6
2591,"(3H,3C)
",6
2757,"(3H,3C)
",6
2822,"(3H,3C)
",6
2651,"(3H,3C)
",6
2826,"(3H,3C)
",6
5319,"them. (3H,3C)
",6
2462,"(3H,3C)
",6
2699,"(3H,3C)
",6
5350,"(3H,3C)
",6
4622,"(3H,3C)
",6
4572,"(3H,3C)
",6
2602,"(3H,3C)
",6
4306,"(3H,3C)
",6
4767,"(3H,3C)
",6
3595,"(3H,3C)
",6
4827,"(3H,3C)
",6
3252,"(3H,3C)
",6
3243,"(3H,3C)
",6
3790,"(3H,3C)
",6
3633,"(3H,3C)
",6
4872,"(3H,3C)
",6
3655,"(3H,3C)
",6
2080,"(3H,3C)
",6
1955,"(3H,3C)
",6
4771,"(3H,3C)
",6
3319,"(3H,3C)
",6
5382,"(3H,3C)
",6
2027,"(3H,3C)
",6
4946,"(3H,3C)
",6
2378,"(3H,3C)
",6
2349,"(3H,3C)
",6
3715,"(3H,3C)
",6
5197,"(3H,3C)
",6
5033,"historical, master narrative structure, and archival research. Pre: AFST 1714. (3H,3C)
",5
1987,"is given to the relevance of animal behavior to human behavior. Pre: 2004 or 1004. (3H,3C)
",5
2516,"2134 or PSCI 1024. (3H,3C)
",5
2521,"or senior standing required. Alternate years. (3H,3C)
",5
5037,"as symbols of American culture and society. Specific thematic content is variable. Course may berepeated with different course content for up to 9 credits. Pre: TA 2054 or CINE 2054. (3H,3C)3524: THE CINEMA DIRECTOR
",5
5330,"and human development. Pre: Junior standing. (3H,3C)
",5
5040,"be repeated with different course content for up to 9 credits. Pre: TA 2054 or CINE 2054. (3H,3C)
",5
5044,"other arts, including literature, music, dance, theatre, painting, and photography Pre: 2054. (3H,3C)
",5
5047,"between media. (3H,3C)
",5
5050,"history of cinema. Junior standing required. Variable credit course. Pre: TA 2054 or CINE 2054 or COMM
",5
2510,"sources: written accounts, photographic and film, personal testimony. (3H,3C)
",5
1976,"development. Pre: 2004 or 1004. (3H,3C)
",5
1983,"neurodegenerative disease. Pre: 1004. (3H,3C)
",5
2492,"Hebrew Bible (Old Testament). (3H,3C)
",5
5026,"3005). (3H,3C)
",5
5021,"management. Pre: 2054, (2064 or 3005). (3H,3C)
",5
4604,"designs. Pre: 3006 or 3616 or 4106 or 4706 or 5605 or 5615 or CMDA 2006. (3H,3C)
",5
2503,"2414. (3H,3C)
",5
4609,"or 4706 or 5606 or 5616 or CMDA 2006. (3H,3C)
",5
2533,"solving and the application of academic discussions to everyday life situations. (3H,3C)
",5
1947,"approaches to psychotherapy, stress and coping, and applications of psychological science. (3H,3C)
",5
2478,"conversation. For students with no prior knowledge of the language. (3H,3C)
",5
1959,"what brain damage and speech errors reveal about language in the brain and mind. (3H,3C)
",5
1965,"neurobiological, social, and emotional development. Pre: 1004. (3H,3C)
",5
1972,"theory. Pre: 1004. (3H,3C)
",5
5013,"cinematography, sound recording, and editing. (3H,3C)
",5
5091,"theatrical production. (3H,3C)
",5
5056,"different course content for up to 9 credits. Pre: TA 2054 or CINE 2054. (3H,3C)
",5
2554,"and media presentations. (3H,3C)
",5
4548,"and Bayesian analysis. Pre: 3006 or 3616. (3H,3C)
",5
2587,"techniques applicable to many different cultural environments. (3H,3C)
",5
4553,"or 3616 or 4106 or 4604 or 4706 or CMDA 2006. (3H,3C)
",5
5334,"normative models of the process of public policy making in the U.S. Pre: PSCI 1014. (3H,3C)
",5
2582,"comparison, and evaluation of relevant case studies. (3H,3C)
",5
4560,"MATH 1225. (3H,3C)
",5
4568,"1025 or MATH 1525 for 3615; 3615 for 3616. (3H,3C)
",5
2569,"experienced. Analysis of the impact the medieval world continues to have on the modern West. (3H,3C)
",5
5191,"2104. (3H,3C)
",5
5187,"required. (3H,3C)
",5
2564,"cultures as well as their influence on later and modern cultures. (3H,3C)
",5
5183,"3315 for 3316. (3H,3C)
",5
5182,"professionals. Consent of instructor required. Pre: ENGL 1106 or ENGL 1204H or COMM 1016 for 3315;
",5
2559,"the relation between living a virtuous life and performing ethical duties. (3H,3C)
",5
2550,"and media presentations. (3H,3C)
",5
5062,"emergence of cult and ""midnight movies."" Pre: 2054. (3H,3C)
",5
2546,"context Interpretation of key texts from various historical and cultural contexts. (3H,3C)
",5
5149,"Pre: 2114. (3H,3C)
",5
4588,"meeting. Senior standing in the Department of Statistics. Pre: 4105, 4204. Co: 4214. (3H,3C)
",5
2542,"context Interpretation of key texts from various historical and cultural contexts. (3H,3C)
",5
5144,"performance of specific genres, and expanded acting theory and analysis. Pre: 2024. (3H,3C)
",5
2538,"solving and the application of academic discussions to everyday life situations. (3H,3C)
",5
5129,"approaches, examination of current practices in the field, and direct hands-on experience. (3H,3C)
",5
5122,"and conflict resolution, and communicating across difference in public and professional settings. (3H,3C)
",5
5118,"Theatre & Cinema Majors. Pre: (2134 or 2024), 2144. (3H,3C)
",5
5111,"reflections on the creative processes. (3H,3C)
",5
2012,"environmental sustainability. Pre: 1004. (3H,3C)
",5
5088,"minors only). (3H,3C)
",5
5083,"techniques in constructive criticism that incorporate interpretive strategies. (3H,3C)
",5
5070,"from scientific measurements. No prior knowledge of visual, theatrical or musical arts needed. (3H,3C)
",5
2005,"1004. (3H,3C)
",5
2039,"or STAT 3615). (3H,3C)
",5
2016,"from a developmental, clinical-experimental point of view. Pre: (2004 or 1004), 3014. (3H,3C)
",5
5314,"ethical, and policy implications and solutions. Completion of Area 4 of University Core required. (3H,3C)
",5
4782,"society. (3H,3C)
",5
4790,"foods, transmissible illnesses, nuclear energy, and information security. (3H,3C)
",5
4795,"relationship between humanity and natural world. Considers visions of alternative futures. (3H,3C)
",5
2414,"why they were created; and preparing final creative projects for classroom presentation. (3H,3C)
",5
4798,"the creationist movement, and contemporary moral and ethical issues. (3H,3C)
",5
2418,"including the impacts of encounter and exchange. Intensive study of a specific topic or period. (3H,3C)
",5
4804,"measures. (3H,3C)
",5
2020,"and health and safety promotion. Pre: 2004 or 1004. (3H,3C)
",5
2207,"markets. Pre: 2004 or UAP 2004, REAL 2034, FIN 3104 or FIN 3134. (3H,3C)
",5
4810,"nature of technological change and consequences in society, from about 1800 to present. (3H,3C)
",5
2203,"reconciling demand and supply. Pre: 2034, (ECON 2005 or AAEC 1005). (3H,3C)
",5
2596,"ethnicity, and law. (3H,3C)
",5
4820,"and technology. (3H,3C)
",5
2182,"in each of these areas. Explores major public policies impacting real estate (3H,3C)
",5
4654,"1226. (3H,3C)
",5
5296,"prerequisite UAP 1024 with a B- grade or higher. Pre: 1024. (3H,3C)
",5
4778,"describing and critiquing local cases of innovative work. (3H,3C)
",5
2408,"relationships among orality, literacy, technology, media, and culture. (3H,3C)
",5
4660,"4714 or CMDA 2006). (3H,3C)
",5
2404,"resource extraction. (3H,3C)
",5
5205,"required. (3H,3C)
",5
4674,"2204H. (3H,3C)
",5
5310,"required. (3H,3C)
",5
4760,"rhetoric and public understanding play in policy making. (3H,3C)
",5
2344,"resource extraction. (3H,3C)
",5
5301,"community study. Restricted to majors and minors only. (3H,3C)
",5
2364,"use. (3H,3C)
",5
2369,"developmental democracy. (3H,3C)
",5
4678,"(3005 or 3604 or CMDA 2006), (AAEC 1006). (3H,3C)
",5
2373,"traditional artifacts and customs. Pre: Junior standing. (3H,3C)
",5
5306,"implementation processes. Pre: 3014, STAT 3604. (3H,3C)
",5
4831,"and decisions regarding allocation of health-care resources. (3H,3C)
",5
4839,"system. (3H,3C)
",5
5286,"and economic development of societies; cities as settings for innovation and change. (3H,3C)
",5
4865,"approaches to biomedical ethics. Pre: ENGL 3154 or ENGL 3324. (3H,3C)
",5
2031,"procedures, student motivation and discipline, and the assessment of educational progress. (3H,3C)
",5
2036,"required for graduate credit. (3H,3C)
",5
2045,"2004), (1094 or 2094), 2034. (3H,3C)
",5
2049,"2044, (2094 or 1094). (3H,3C)
",5
2053,"3604 or BIT 2405). (3H,3C)
",5
2057,"physiological correlates of motivation and emotion. Pre: (2004 or 1004), 2064, (2094 or 1094). (3H,3C)
",5
2061,"issues, theories about the human perceptual process. Pre: (2004 or 1004), 2064, (2094 or 1094). (3H,3C)
",5
2065,"and person perception. Pre: (2004 or 1004), 2084. (3H,3C)
",5
2074,"1094). (3H,3C)
",5
4877,"satisfy the prerequisite. Pre: 1504 or WGS 2244. (3H,3C)
",5
2110,"by members of the seminar. Consent required. (3H,3C)
",5
2113,"by members of the seminar. (3H,3C)
",5
2117,"business. Pre: NEUR 2026 or ECON 3104. (3H,3C)
",5
5283,"processes in each of these areas. Explores major public policies impacting real estate. (3H,3C)
",5
4627,"cluster analysis. Use of SAS. Pre: 3006 or 4706 or 5606 or 5616 or CMDA 2006. (3H,3C)
",5
4846,"societal context. 3705: Early Science; 3706: Modern Science (3H,3C)
",5
5323,"implementation. Pre: PSCI 1014. (3H,3C)
",5
2457,"traditional artifacts and customs. Pre: Junior standing. (3H,3C)
",5
2453,"topics, for a maximum of 9 credits. (3H,3C)
",5
4632,"4706 or 5606 or 5616. (3H,3C)
",5
2448,"ideas, images, and icons on the popular imagination. (3H,3C)
",5
2445,"human development. Pre: Junior standing. (3H,3C)
",5
4861,"approaches to biomedical ethics. Pre: ENGL 1106 or ENGL 1204H or COMM 1016. (3H,3C)
",5
4637,"survey. Pre: 3006 or 3616 or 4106 or 4706 or 5606 or 5616. (3H,3C)
",5
2440,"similarities in the different styles and stances in communication and their meanings to participants. (3H,3C)
",5
4642,"Pre: 3006 or 4104 or 4706 or 4714 or 3616 or BIT 2406 or CMDA 2006. (3H,3C)
",5
2436,"different topics. (3H,3C)
",5
4857,"with different topics. Junior Standing. (3H,3C)
",5
2431,"States. (3H,3C)
",5
4849,"century, with a particular emphasis on biology’s impact on society. (3H,3C)
",5
3723,"science careers. Pre: 1824. (3H,3C)
",5
2396,"global contexts and Asian cultures. (3H,3C)
",5
4543,"MATH 1526), (STAT 3005 or STAT 3615 or CMDA 2006). (3H,3C)
",5
3626,"or WGS 1824. (3H,3C)
",5
4127,"monuments and the political and cultural circumstances that led to their creation. Pre: 2385. (3H,3C)
",5
4124,"global objects of cultural heritage and cultural identity. (3H,3C)
",5
4110,"technologies and scientific knowledge. (3H,3C)
",5
4103,"region. (3H,3C)
",5
4097,"contexts of Imperial and post-Imperial patronage. (3H,3C)
",5
5387,"pollution control legislation, policies, and programs at federal, state, and local levels. (3H,3C)
",5
4092,"notable sites from North Africa and Central Asia. (3H,3C)
",5
3783,"Pre: 1824, 2114. (3H,3C)
",5
4085,"maximum of 9 credits. Pre: 2385 or 2386. (3H,3C)
",5
3239,"methods. Emphasis on the interplay of African American Studies scholarship and activism. (3H,3C)
",5
3247,"and institutions. (3H,3C)
",5
4134,"artistic techniques, patronage, iconography and the primary literature of the period. Pre: 2386. (3H,3C)
",5
3257,"meanings, and identities. Pre: WGS 1824. (3H,3C)
",5
4014,"to Post-Impressionism) and 20th centuries (cubism to postmodernism). (3H,3C)
",5
3265,"States. (3H,3C)
",5
3619,"producers with consumers. Pre: 1004, 1014 or AFST 1714. (3H,3C)
",5
3270,"the Movement influenced student protest on college campuses. (3H,3C)
",5
3276,"made with Brazil and South Africa. (3H,3C)
",5
5392,"renewable systems. Pre: (MATH 1016 or MATH 1025). (3H,3C)
",5
3281,"liberation movements in Black culture; contributions of Black women in the U.S. and globally. (3H,3C)
",5
3287,"analyzed. (3H,3C)
",5
3614,"developmental democracy. (3H,3C)
",5
4130,"emphasis on the Romanesque and Gothic Periods. Pre: 2385. (3H,3C)
",5
4138,"are discussed in their historical, cultural, and social context. Pre: 2386. (3H,3C)
",5
3298,"and protest movements. (3H,3C)
",5
4221,"American art from its colonial beginnings until World War I. Pre: 2386. (3H,3C)
",5
3651,"Can be taken multiple times if different topic. Pre: 3204, STAT 3604. (3H,3C)
",5
2915,"3615 or CHEM 4615). (3H,3C)
",5
2924,"of materials and consumer goods. Carbon sequestration and the use biomass for energy. (3H,3C)
",5
2943,"production practices. Pre: 1234. (3H,3C)
",5
4243,"from Baudelaire to the Present, New Methods in Renaissance and Baroque Art History, and the Theory ofArt from various periods, indicated by timetable. Lecture and/or undergraduate seminar format. May berepeated for credit with different content to a maximum of 9 credits. Pre: 2385 or 2386. (3H,3C)
",5
2995,"shearwalls. Pre: 3314 or CEE 3404. (3H,3C)
",5
4239,"May be repeated for credit for a maximum of 18 credits. Pre: 2386. (3H,3C)
",5
3001,"biorefineries. Pre: 3434. (3H,3C)
",5
4234,"Society checksheet. Pre: 1104. (3H,3C)
",5
3007,"and materials. Pre: CHEM 2536 or CHEM 2566. (3H,3C)
",5
3647,"collective responsibility to eliminate bias and discrimination through students’ community-based projectoutcomes. This course is restricted to students who have enrolled in the Diversity and CommunityEngagement Minor. Pre: 2034. (3H,3C)
",5
3640,"research to lay audiences. Pre: 3204, STAT 3604. (3H,3C)
",5
4219,"stressed. Pre: Bachelors of Fine Arts (BFA) majors only. (3H,3C)
",5
4213,"impressionism through post-modernism. Pre: 2386. (3H,3C)
",5
3028,"impact of the external business environment on management decisions. Pre: 1234, 2614, 3114. (3H,3C)
",5
4210,"2386. (3H,3C)
",5
3032,"and efficiency of wood building systems. Pre: 4315. (3H,3C)
",5
3040,"historic wood buildings, effectiveness and efficiency of wood building systems. Pre: 3314. (3H,3C)
",5
4197,"inclusion and critical discourse. Pre: 2386. (3H,3C)3684: SURVEY OF AFRICAN-AMERICAN ARTA chronological survey of African-American art, from its beginnings in the tribal traditions of Africa to itscontemporary manifestations. Pre: 2386 or AFST 2774. (3H,3C)
",5
4187,"production of art and material culture. (3H,3C)
",5
3769,"originating with women of color in the U.S. with those from international third worlds. Pre: 2264. (3H,3C)
",5
3773,"beliefs on scientific perspectives. Pre: 1824. (3H,3C)
",5
3795,"may satisfy prerequisite. Pre: 2244 or STS 1504. (3H,3C)
",5
3609,"in use. (3H,3C)
",5
3763,"discourse strategies and types. Pre: ENGL 1106 or ENGL 1204H or COMM 1016. (3H,3C)
",5
5419,"establish contexts for development planning and policy-making. Junior standing required. (3H,3C)
",5
3474,"attention given to factors associated with divorce. (3H,3C)
",5
3480,"combination with AFST 1714. (3H,3C)
",5
3486,"service to community. (3H,3C)
",5
3491,"well as research techniques applicable to many different cultural environments. (3H,3C)
",5
3496,"used to frame decisions about community-related policies and service-oriented programs. (3H,3C)
",5
3501,"meanings, and identities. Pre: WGS 1824. (3H,3C)
",5
3504,"attitudes, and behavior in social contexts. (3H,3C)
",5
3512,"with Brazil and South Africa. (3H,3C)
",5
3521,"in the arts and media. (3H,3C)
",5
3527,"measures. (3H,3C)
",5
3539,"Cross cultural comparisons. Pre: 1004. (3H,3C)
",5
3458,"change. (3H,3C)
",5
3544,"are shaped by gender and the relationship of gender to social institutions. Pre: 1004. (3H,3C)
",5
3548,"and nature. Pre: 1004. (3H,3C)
",5
3552,"discrimination in the United States. Pre: ENGL 1106 or ENGL 1204H or COMM 1016. (3H,3C)
",5
3558,"movements. Pre: 1004. (3H,3C)
",5
3587,"globalizations and how social movements might lead to such alternatives. (3H,3C)
",5
3581,"1004. (3H,3C)
",5
3576,"affecting gender relations in work organizations will be analyzed. Pre: 1004. (3H,3C)
",5
3571,"examined. Pre: 1004. (3H,3C)
",5
3562,"1004. (3H,3C)
",5
3567,"and human development. Pre: Junior standing. (3H,3C)
",5
3471,"care, drugs, terrorism, human rights, and social change. (3H,3C)
",5
5415,"required. (3H,3C)
",5
3605,"future trends. Taught alternate years. Junior standing. Pre: 1004. (3H,3C)
",5
5406,"the Washington Semester program required. X-grade allowed. Pre: PSCI 3714. (3H,3C)
",5
3305,"historical, master narrative structure, and archival research. Pre: 1714. (3H,3C)
",5
3601,"alternate years. Pre: 1004. (3H,3C)
",5
3309,"concepts and styles and their impact on social change. (3H,3C)
",5
3312,"such modern figures as Wright, Hughes, Baldwin, and Morrison. (3H,3C)
",5
5399,"the Washington Semester program. X-grade allowed. (3H,3C)
",5
